Trie constructed
shortlist size: 100
Word counts size: 881233
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 7625530
Initial setup phase: 20162 ms
230. |Ġ$\ [c4 a0 24 5c ] | 970481  | 0 ms | 0 ms | num. checks: 0
231. |Ġph [c4 a0 70 68 ] | 962492  | 4 ms | 15 ms | num. checks: 100
232. |Ġint [c4 a0 69 6e 74 ] | 957832  | 4 ms | 9 ms | num. checks: 100
233. |de [64 65 ] | 957118  | 1 ms | 20 ms | num. checks: 1
234. |Ġlearn [c4 a0 6c 65 61 72 6e ] | 953316  | 0 ms | 0 ms | num. checks: 0
235. |Ġch [c4 a0 63 68 ] | 953043  | 4 ms | 11 ms | num. checks: 100
236. |ain [61 69 6e ] | 951012  | 4 ms | 13 ms | num. checks: 5
237. |ens [65 6e 73 ] | 950036  | 4 ms | 19 ms | num. checks: 100
238. |ri [72 69 ] | 945984  | 3 ms | 28 ms | num. checks: 7
239. |th [74 68 ] | 942643  | 3 ms | 29 ms | num. checks: 6
240. |ph [70 68 ] | 938903  | 3 ms | 43 ms | num. checks: 5
241. |Ġcont [c4 a0 63 6f 6e 74 ] | 937658  | 4 ms | 7 ms | num. checks: 100
242. |Ġper [c4 a0 70 65 72 ] | 929401  | 0 ms | 5 ms | num. checks: 0
243. |Ġelectr [c4 a0 65 6c 65 63 74 72 ] | 928647  | 2 ms | 2 ms | num. checks: 1
244. |ay [61 79 ] | 913180  | 3 ms | 17 ms | num. checks: 100
245. |ad [61 64 ] | 904189  | 6 ms | 33 ms | num. checks: 100
246. |ĠB [c4 a0 42 ] | 903731  | 5 ms | 48 ms | num. checks: 3
247. |ous [6f 75 73 ] | 902709  | 0 ms | 14 ms | num. checks: 1
248. |Ġpredic [c4 a0 70 72 65 64 69 63 ] | 898095  | 0 ms | 0 ms | num. checks: 0
249. |Ġproperties [c4 a0 70 72 6f 70 65 72 74 69 65 73 ] | 896238  | 0 ms | 0 ms | num. checks: 0
250. |ell [65 6c 6c ] | 887055  | 3 ms | 20 ms | num. checks: 100
251. |Ġpoint [c4 a0 70 6f 69 6e 74 ] | 885327  | 3 ms | 4 ms | num. checks: 100
252. |Ġtransition [c4 a0 74 72 61 6e 73 69 74 69 6f 6e ] | 881064  | 0 ms | 0 ms | num. checks: 0
253. |able [61 62 6c 65 ] | 865854  | 3 ms | 22 ms | num. checks: 100
254. |Ġunder [c4 a0 75 6e 64 65 72 ] | 863438  | 4 ms | 7 ms | num. checks: 100
255. |Ġprovid [c4 a0 70 72 6f 76 69 64 ] | 855838  | 3 ms | 3 ms | num. checks: 100
256. |ers [65 72 73 ] | 854467  | 2 ms | 24 ms | num. checks: 1
257. |Ġun [c4 a0 75 6e ] | 851871  | 2 ms | 19 ms | num. checks: 100
258. |up [75 70 ] | 845801  | 2 ms | 12 ms | num. checks: 100
259. |Ġthrough [c4 a0 74 68 72 6f 75 67 68 ] | 833876  | 0 ms | 0 ms | num. checks: 1
260. |Ġqu [c4 a0 71 75 ] | 832595  | 1 ms | 11 ms | num. checks: 1
261. |Ġcalcul [c4 a0 63 61 6c 63 75 6c ] | 830805  | 0 ms | 0 ms | num. checks: 0
