Trie constructed
shortlist size: 100
Word counts size: 105505
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 884630
Initial setup phase: 1897 ms
220. |Ġthose [c4 a0 74 68 6f 73 65 ] | 100918  | 0 ms | 0 ms | num. checks: 17
221. |ence [65 6e 63 65 ] | 100193  | 1 ms | 3 ms | num. checks: 100
222. |all [61 6c 6c ] | 100173  | 0 ms | 2 ms | num. checks: 0
223. |Ġcomp [c4 a0 63 6f 6d 70 ] | 98004  | 2 ms | 3 ms | num. checks: 200
224. |ance [61 6e 63 65 ] | 97130  | 0 ms | 3 ms | num. checks: 100
225. |our [6f 75 72 ] | 96516  | 0 ms | 2 ms | num. checks: 0
226. |bility [62 69 6c 69 74 79 ] | 95440  | 0 ms | 2 ms | num. checks: 0
227. |ap [61 70 ] | 95192  | 1 ms | 6 ms | num. checks: 100
228. |um [75 6d ] | 94954  | 1 ms | 6 ms | num. checks: 100
229. |Ġun [c4 a0 75 6e ] | 94342  | 0 ms | 9 ms | num. checks: 12
230. |Ġconcern [c4 a0 63 6f 6e 63 65 72 6e ] | 92811  | 0 ms | 0 ms | num. checks: 0
231. |Ġlike [c4 a0 6c 69 6b 65 ] | 91446  | 1 ms | 1 ms | num. checks: 89
232. |able [61 62 6c 65 ] | 91411  | 1 ms | 6 ms | num. checks: 100
233. |Ġint [c4 a0 69 6e 74 ] | 90612  | 0 ms | 1 ms | num. checks: 1
234. |Ġdisarmament [c4 a0 64 69 73 61 72 6d 61 6d 65 6e 74 ] | 90165  | 0 ms | 0 ms | num. checks: 0
235. |ĠDevelopment [c4 a0 44 65 76 65 6c 6f 70 6d 65 6e 74 ] | 90048  | 0 ms | 1 ms | num. checks: 80
236. |od [6f 64 ] | 89958  | 0 ms | 3 ms | num. checks: 0
237. |ard [61 72 64 ] | 89761  | 0 ms | 2 ms | num. checks: 1
238. |Ġstrengthen [c4 a0 73 74 72 65 6e 67 74 68 65 6e ] | 89320  | 0 ms | 0 ms | num. checks: 0
239. |operation [6f 70 65 72 61 74 69 6f 6e ] | 89018  | 0 ms | 0 ms | num. checks: 37
240. |Ġsituation [c4 a0 73 69 74 75 61 74 69 6f 6e ] | 88944  | 0 ms | 0 ms | num. checks: 0
241. |Ġreg [c4 a0 72 65 67 ] | 88652  | 1 ms | 1 ms | num. checks: 100
242. |up [75 70 ] | 86955  | 1 ms | 4 ms | num. checks: 100
243. |ound [6f 75 6e 64 ] | 86016  | 0 ms | 2 ms | num. checks: 100
244. |ong [6f 6e 67 ] | 85923  | 0 ms | 1 ms | num. checks: 0
245. |ign [69 67 6e ] | 85852  | 0 ms | 1 ms | num. checks: 0
246. |Ġterritor [c4 a0 74 65 72 72 69 74 6f 72 ] | 85432  | 1 ms | 1 ms | num. checks: 100
247. |Ġle [c4 a0 6c 65 ] | 85367  | 0 ms | 1 ms | num. checks: 0
248. |Ġo [c4 a0 6f ] | 84392  | 0 ms | 3 ms | num. checks: 29
249. |com [63 6f 6d ] | 83857  | 0 ms | 3 ms | num. checks: 68
250. |clu [63 6c 75 ] | 83574  | 0 ms | 0 ms | num. checks: 0
251. |Ġme [c4 a0 6d 65 ] | 83261  | 0 ms | 1 ms | num. checks: 100
252. |ĠIn [c4 a0 49 6e ] | 83026  | 0 ms | 3 ms | num. checks: 0
253. |Ġad [c4 a0 61 64 ] | 81858  | 0 ms | 1 ms | num. checks: 48
254. |Ġnuclear [c4 a0 6e 75 63 6c 65 61 72 ] | 80775  | 1 ms | 1 ms | num. checks: 168
255. |Ġbeen [c4 a0 62 65 65 6e ] | 80345  | 0 ms | 0 ms | num. checks: 0
256. |Ġindepend [c4 a0 69 6e 64 65 70 65 6e 64 ] | 80082  | 14 ms | 14 ms | num. checks: 100
257. |Ġparticular [c4 a0 70 61 72 74 69 63 75 6c 61 72 ] | 80001  | 0 ms | 0 ms | num. checks: 0
258. |ress [72 65 73 73 ] | 79701  | 0 ms | 3 ms | num. checks: 0
259. |Ġch [c4 a0 63 68 ] | 79397  | 7 ms | 10 ms | num. checks: 84
260. |Ġsuch [c4 a0 73 75 63 68 ] | 78710  | 0 ms | 0 ms | num. checks: 0
261. |Ġsession [c4 a0 73 65 73 73 69 6f 6e ] | 78284  | 2 ms | 2 ms | num. checks: 43
262. |ĠCharter [c4 a0 43 68 61 72 74 65 72 ] | 77970  | 0 ms | 1 ms | num. checks: 27
263. |Ġbecause [c4 a0 62 65 63 61 75 73 65 ] | 77504  | 4 ms | 4 ms | num. checks: 49
264. |ult [75 6c 74 ] | 77389  | 2 ms | 6 ms | num. checks: 23
265. |Ġtime [c4 a0 74 69 6d 65 ] | 77294  | 0 ms | 0 ms | num. checks: 0
266. |Ġcan [c4 a0 63 61 6e ] | 77096  | 1 ms | 1 ms | num. checks: 17
267. |Ġwork [c4 a0 77 6f 72 6b ] | 76790  | 3 ms | 3 ms | num. checks: 100
268. |ternational [74 65 72 6e 61 74 69 6f 6e 61 6c ] | 76404  | 0 ms | 0 ms | num. checks: 0
269. |ary [61 72 79 ] | 75096  | 3 ms | 6 ms | num. checks: 100
270. |mocratic [6d 6f 63 72 61 74 69 63 ] | 75076  | 0 ms | 0 ms | num. checks: 0
271. |Ġimport [c4 a0 69 6d 70 6f 72 74 ] | 74898  | 2 ms | 2 ms | num. checks: 100
272. |ia [69 61 ] | 74761  | 0 ms | 4 ms | num. checks: 0
273. |ip [69 70 ] | 73843  | 3 ms | 8 ms | num. checks: 100
274. |ill [69 6c 6c ] | 73651  | 2 ms | 5 ms | num. checks: 61
275. |ces [63 65 73 ] | 73482  | 0 ms | 2 ms | num. checks: 0
276. |the [74 68 65 ] | 73232  | 0 ms | 0 ms | num. checks: 0
277. |Ġachie [c4 a0 61 63 68 69 65 ] | 73000  | 0 ms | 0 ms | num. checks: 0
278. |Ġcommunity [c4 a0 63 6f 6d 6d 75 6e 69 74 79 ] | 72674  | 0 ms | 0 ms | num. checks: 0
